Date and time[ms]; Stamp; Direction[In, Out, Undefined]; Source; Destination; Message Id; Length; Status for Tx; Data;
21_04_26 06:49:02.261;0;O;1;2;FFE0;0;ERR;
21_04_26 06:49:26.980;986;O;1;2;FFE0;0;ERR;
21_04_26 06:49:37.206;2;O;1;2;FFE0;0;ERR;
21_04_26 06:49:40.392;4;O;1;2;FFE0;0;ERR;
21_04_26 06:49:43.227;6;O;1;2;FFE0;0;ERR;
21_04_26 06:49:49.751;8;O;1;2;FFE0;0;ERR;
21_04_26 06:49:51.654;10;O;1;2;FFE0;0;ERR;
21_04_26 06:49:53.986;12;O;1;2;FFE0;0;ERR;
21_04_26 06:49:55.926;14;O;1;2;FFE0;0;ERR;
21_04_26 06:49:58.190;16;O;1;2;FFE0;0;ERR;
21_04_26 06:50:00.552;18;O;1;2;FFE0;0;ERR;
21_04_26 06:50:03.687;20;O;1;2;FFE0;0;ERR;
21_04_26 06:50:06.158;22;O;1;2;FFE0;0;ERR;
21_04_26 06:50:10.999;0;O;1;4;  2A;0;ERR;
21_04_26 06:50:14.020;26;O;1;4;  2A;0;ERR;
21_04_26 06:50:16.693;28;O;1;4;  2A;0;ERR;
21_04_26 06:50:20.394;30;O;1;4;  2A;0;ERR;
21_04_26 06:50:28.209;32;O;1;4;  2A;0;ERR;
21_04_26 06:50:41.394;34;O;1;4;  2A;0;ERR;
21_04_26 06:50:44.819;36;O;1;4;  2A;0;ERR;
21_04_26 06:50:47.878;38;O;1;4;  2A;0;ERR;
21_04_26 06:50:51.266;40;O;1;4;  2A;0;ERR;
21_04_26 06:50:57.934;42;O;1;4;  2A;0;ERR;
21_04_26 06:51:04.491;44;O;1;4;  2A;0;ERR;
21_04_26 06:51:08.570;46;O;1;4;  2A;0;ERR;
21_04_26 06:51:28.491;49;I;2;1;4216;66;;2d14541501158000000000001e000000190000000000030003000300030000200800e01e7c580000d462866058040908018f1d196d0ed5628660f60801001900fc1e
21_04_26 06:51:28.491;50;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 06:51:53.005;48;O;1;4;  2A;0;ERR;
21_04_26 06:51:57.489;52;O;1;4;  2A;0;ERR;
21_04_26 06:51:59.708;54;O;1;4;  2A;0;ERR;
21_04_26 06:51:59.499;57;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 06:52:00.842;58;I;4;1;DE21;46;;9214231383150100ce000000230000002d00000000009c0189019601830100200800e01e895800005e04965a5804
21_04_26 06:52:15.348;0;O;1;4;  71;4;ERR;0000d002
21_04_26 06:52:15.894;61;I;4;1;DE24;0;;
21_04_26 06:52:21.057;56;O;1;4;  2A;0;ERR;
21_04_26 06:52:24.321;63;O;1;4;  2A;0;ERR;
21_04_26 06:52:26.222;65;O;1;4;  2A;0;ERR;
21_04_26 06:52:27.344;68;I;4;1;DE21;46;;1611fb132f150a028c000000680091002d0000000000af019c01a901960100300800d81e935800007804965a5804
21_04_26 06:52:28.540;69;I;2;1;4216;66;;e21075116e1206025302fc017c009000c00100000000040004000400040000300800a81e945800001063866058040a0a9d971d196d0e1163866032090100ad01b81e
21_04_26 06:52:28.540;70;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 06:52:29.992;67;O;1;4;  2A;0;ERR;
21_04_26 06:52:42.532;0;O;1;1A;1D90;0;ERR;
21_04_26 06:52:45.882;74;O;1;1A;1D90;0;ERR;
21_04_26 06:52:49.794;76;O;1;1A;1D90;0;ERR;
21_04_26 06:52:52.527;78;O;1;1A;1D90;0;ERR;
21_04_26 06:52:55.366;80;O;1;1A;1D90;0;ERR;
21_04_26 06:52:58.567;83;I;5;1;F204;115;;c26d4a96dac005000000803f00000000000000000000000000000000000000000000000083c26d4a96dac00500640721bd628c34bf1af1203d30ee343f00000000000000000000000083c26d4a96dac005000000803f00000000000000000000000000000000000000000000000080ffffffff
21_04_26 06:52:58.582;84;I;2;1;4216;66;;a9132d147c14db00330100005200a000190000000000040004000400040000300800dc1e9e5800002e63866058040c0a9b951e196d0e2f638660500901001900f81e
21_04_26 06:52:58.582;85;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 06:53:01.425;82;O;1;1A;1D90;0;ERR;
