Date and time[ms]; Stamp; Direction[In, Out, Undefined]; Source; Destination; Message Id; Length; Status for Tx; Data;
21_04_30 21:14:38.129;186;O;1;1A;1DAD;56;ERR;315f2f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d70726576696577312e6a7067
21_04_30 21:14:38.280;187;I;2;1;4216;66;;5510f20e7e15ca01000100005800a0001d0000000000fdfffdfffdfffdff00300800d01e6d19010039738c605a040602018e1e19720e3b738c600c4b03001a00fc1e
21_04_30 21:14:38.280;188;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:14:40.422;189;I;1A;1;1DAA;73;;3236313a303a30303030303030303a2f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d70726576696577312e6a70673a313730
21_04_30 21:14:40.808;190;I;1A;1; 118;2;;ad1d
21_04_30 21:14:40.808;191;I;1A;1;1DAC;0;;
21_04_30 21:14:42.341;173;O;1;4;  2A;0;ERR;
21_04_30 21:14:43.988;194;I;4;1;DE21;46;;0c11a912a5138001370100006400a00030000000000083fe96fe9cfe90fe00300800d81e701901001042985a5a04
21_04_30 21:14:46.725;160;O;1;4;  71;4;ERR;01005e01
21_04_30 21:14:49.866;0;O;1;4;  76;4;ERR;01002c01
21_04_30 21:14:50.890;199;I;4;1;DE24;0;;
21_04_30 21:14:51.852;196;O;1;4;  71;4;ERR;01005e01
21_04_30 21:14:55.195;201;O;1;4;  71;4;ERR;01005e01
21_04_30 21:14:57.362;204;I;5;1;F204;115;;eb716b1a37c105000000803fa8b3272c5d3b49ac2f5a77a93618a52c2f90ccac7ee9efa985eb716b1a37c105008a6f0b3f0376a43d5a44753efab84cbf4094fbacf7f917acd18f62aa85eb716b1a37c105000000803f00000000000000000000000000000000000000000000000083ffffffff
21_04_30 21:15:02.422;206;O;1;1A;1DAD;56;ERR;315f2f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d70726576696577312e6a7067
21_04_30 21:15:04.711;207;I;1A;1;1DAA;73;;3236313a303a30303030303030303a2f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d70726576696577312e6a70673a313730
21_04_30 21:15:05.082;208;I;1A;1; 118;2;;ad1d
21_04_30 21:15:05.082;209;I;1A;1;1DAC;0;;
21_04_30 21:15:07.364;210;I;5;1;F204;115;;07700c1b37c105000000803f3288472c32d570ac5eba92a97ca3b42cb49ee1ac5d6302aa8507700c1b37c1050045500b3f6af0aa3d0f057a3ef85c4cbfcb720aadd91425ace76c82aa8507700c1b37c105000000803f00000000000000000000000000000000000000000000000083ffffffff
21_04_30 21:15:14.599;212;O;1;1A;1DAD;56;ERR;315f2f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d70726576696577312e6a7067
21_04_30 21:15:16.878;213;I;2;1;4216;66;;2010bb04b504f3017b04760451fea000b50100000000fdfffdfffdfffdff003008006c1e7819010057738c605a0407039c921e19720e59738c602a4b03001a00dc1e
21_04_30 21:15:16.879;214;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:15:16.903;215;I;1A;1;1DAA;73;;3236313a303a30303030303030303a2f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d70726576696577312e6a70673a313730
21_04_30 21:15:17.937;216;I;5;1;F204;115;;af548d1b37c105000000803fff15632cc1ad89ac1f8fa6a9b82ac12c46c8f2ac5f9e0aaa85af548d1b37c105005e360b3f171fb03d9dd17d3e09124cbfdebc14adcb842fac11f190aa85af548d1b37c105000000803f00000000000000000000000000000000000000000000000083ffffffff
21_04_30 21:15:17.937;217;I;1A;1; 118;2;;ad1d
21_04_30 21:15:17.938;218;I;1A;1;1DAC;0;;
21_04_30 21:15:27.476;219;I;5;1;F204;115;;538d2e1c37c105000000803f6a14842c5111a1acac0ec1a9a6efd02c494f04ad56bc14aa85538d2e1c37c10500e2140b3f2099b63d0e48813eb7b24bbf97cb21adc3803cac8813a4aa85538d2e1c37c105000000803f00000000000000000000000000000000000000000000000083ffffffff
21_04_30 21:15:38.451;220;I;5;1;F204;115;;02c5cf1c37c105000000803f3013982cf37cbaac7c66dda9f2cee02c846d0fad6ca01eaa8502c5cf1c37c1050033f20a3f8511bd3d29a6833ea3514bbfdb0d2fade36749acba48b8aa8502c5cf1c37c105000000803f00000000000000000000000000000000000000000000000083ffffffff
21_04_30 21:15:38.457;221;I;2;1;4216;66;;f20e1806000507024102c40418009f001c0000000000fdfffdfffdfffdff00300800c01e8219010075738c605a04060301921e19720e77738c60484b03001a00d41e
21_04_30 21:15:38.457;222;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:15:50.285;224;O;1;1A;1DAD;56;ERR;315f2f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d70726576696577312e6a7067
21_04_30 21:15:52.554;225;I;5;1;F204;115;;abe8701d37c105000000803f0087ad2c7af6d5ac7187fba9edc4f02cd3bb1aadc54128aa85abe8701d37c1050054ce0a3f7287c33dd302863ed8ee4abf2f803cad013856ac838acdaa85abe8701d37c105000000803f00000000000000000000000000000000000000000000000083ffffffff
21_04_30 21:15:52.571;226;I;1A;1;1DAA;73;;3236313a303a30303030303030303a2f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d70726576696577312e6a70673a313730
21_04_30 21:15:53.003;227;I;1A;1; 118;2;;ad1d
21_04_30 21:15:53.003;228;I;1A;1;1DAC;0;;
21_04_30 21:16:07.595;229;I;5;1;F204;115;;7422931e37c105000000803f26e4d72c946206ad94151baa52de062d1f902fad59dc38aa857422931e37c10500b28a0a3fee25cf3dea408a3e7c384abf782f55adcc136dac2974f6aa857422931e37c105000000803f00000000000000000000000000000000000000000000000083ffffffff
21_04_30 21:16:08.562;230;I;2;1;4216;66;;970fa610b814d201390096005b009c001c0000000000fdfffdfffdfffdff00300800d41e8c19010093738c605a04060301901e19720e95738c60664b03001a00f01e
21_04_30 21:16:08.563;231;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_30 21:16:12.511;233;O;1;1A;1DAF;139;ERR;6364202f6d656469612f53746f726167652f4443494d2f3b2073706c6974202d6220343136352043315f494d475f32303231303433303036333535352d70726576696577312e6a70672043315f494d475f32303231303433303036333535355f706172742e203b206c73202d6c742043315f494d475f32303231303433303036333535355f706172742a20
21_04_30 21:16:13.692;234;I;1;1A;1DAF;139;;6364202f6d656469612f53746f726167652f4443494d2f3b2073706c6974202d6220343136352043315f494d475f32303231303433303036333535352d70726576696577312e6a70672043315f494d475f32303231303433303036333535355f706172742e203b206c73202d6c742043315f494d475f32303231303433303036333535355f706172742a20
21_04_30 21:16:14.883;235;I;1A;1;1DAA;63;;353a35393a34376363393463303362633733333637633330623661323666623533313662663a2f72756e2f537973436d64526573756c742e7478743a313730
21_04_30 21:16:15.851;236;I;1A;1; 118;2;;af1d
21_04_30 21:16:15.851;237;I;1A;1;1DAB;63;;010000006c733a2043315f494d475f32303231303433303036333535355f706172742a3a204e6f20737563682066696c65206f72206469726563746f72790a
21_04_30 21:16:16.307;238;I;1A;1;1DAC;0;;
21_04_30 21:16:17.612;239;I;5;1;F204;115;;ef4e341f37c105000000803f3f80f12c7f1c17adda872caa92f70e2dae603bad009e41aa85ef4e341f37c1050075630a3f4397d53d639a8c3ec3d049bfbf2363ad65a579acfe4d07ab85ef4e341f37c105000000803f00000000000000000000000000000000000000000000000083ffffffff
21_04_30 21:16:27.644;240;I;5;1;F204;115;;b57fd51f37c105000000803ffc4d062d97ef28add8c43eaaea19172d7f5c47ad54014aaa85b57fd51f37c10500053b0a3fd906dc3dadf28e3e496749bfc24271adc30f83ac21e313ab85b57fd51f37c105000000803f00000000000000000000000000000000000000000000000083ffffffff
21_04_30 21:16:37.190;242;O;1;1A;1DAF;62;ERR;6c73202d6c74202f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d70726576696577312e6a706720
21_04_30 21:16:47.422;244;O;1;1A;1DAF;62;ERR;6c73202d6c74202f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d70726576696577312e6a706720
21_04_30 21:16:50.063;246;O;1;1A;1DAF;62;ERR;6c73202d6c74202f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d70726576696577312e6a706720
21_04_30 21:16:52.454;247;I;1A;1;1DAA;64;;353a3131323a30663663666130616665663935336436636365386262333362303833616465323a2f72756e2f537973436d64526573756c742e7478743a313730
21_04_30 21:16:53.394;248;I;1A;1; 118;2;;af1d
21_04_30 21:16:53.394;249;I;1A;1;1DAB;116;;010000002d72772d722d2d722d2d202020203120726f6f742020202020726f6f742020202020202020202020202030204170722033302030363a3336202f6d656469612f53746f726167652f4443494d2f43315f494d475f32303231303433303036333535352d70726576696577312e6a70670a
21_04_30 21:16:53.804;250;I;1A;1;1DAC;0;;
21_04_30 21:16:57.751;251;I;5;1;F204;115;;57d9982137c105000000803f9143302d7ecf60ad96bb75aa83082e2d92c069adae475faa8557d9982137c105006fc3093fcd01ee3ddc7c953eae3648bf1fcf8cad334694ac54be39ab8557d9982137c105000000803f00000000000000000000000000000000000000000000000083ffffffff
