Date and time[ms]; Stamp; Direction[In, Out, Undefined]; Source; Destination; Message Id; Length; Status for Tx; Data;
21_04_26 06:49:01.730;986;O;1;2;FFE0;0;ERR;
21_04_26 06:49:26.508;2;O;1;2;FFE0;0;ERR;
21_04_26 06:49:36.726;4;O;1;2;FFE0;0;ERR;
21_04_26 06:49:39.924;6;O;1;2;FFE0;0;ERR;
21_04_26 06:49:42.766;8;O;1;2;FFE0;0;ERR;
21_04_26 06:49:49.356;10;O;1;2;FFE0;0;ERR;
21_04_26 06:49:51.204;12;O;1;2;FFE0;0;ERR;
21_04_26 06:49:53.536;14;O;1;2;FFE0;0;ERR;
21_04_26 06:49:55.493;16;O;1;2;FFE0;0;ERR;
21_04_26 06:49:57.744;18;O;1;2;FFE0;0;ERR;
21_04_26 06:50:00.116;20;O;1;2;FFE0;0;ERR;
21_04_26 06:50:03.256;22;O;1;2;FFE0;0;ERR;
21_04_26 06:50:05.740;24;O;1;2;FFE0;0;ERR;
21_04_26 06:50:10.593;26;O;1;4;  2A;0;ERR;
21_04_26 06:50:13.657;28;O;1;4;  2A;0;ERR;
21_04_26 06:50:16.305;30;O;1;4;  2A;0;ERR;
21_04_26 06:50:20.089;32;O;1;4;  2A;0;ERR;
21_04_26 06:50:27.826;34;O;1;4;  2A;0;ERR;
21_04_26 06:50:41.024;36;O;1;4;  2A;0;ERR;
21_04_26 06:50:44.444;38;O;1;4;  2A;0;ERR;
21_04_26 06:50:47.484;40;O;1;4;  2A;0;ERR;
21_04_26 06:50:50.894;42;O;1;4;  2A;0;ERR;
21_04_26 06:50:57.545;44;O;1;4;  2A;0;ERR;
21_04_26 06:51:04.104;46;O;1;4;  2A;0;ERR;
21_04_26 06:51:08.204;48;O;1;4;  2A;0;ERR;
21_04_26 06:51:28.491;49;I;2;1;4216;66;;2d14541501158000000000001e000000190000000000030003000300030000200800e01e7c580000d462866058040908018f1d196d0ed5628660f60801001900fc1e
21_04_26 06:51:28.491;50;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 06:51:52.640;52;O;1;4;  2A;0;ERR;
21_04_26 06:51:57.103;54;O;1;4;  2A;0;ERR;
21_04_26 06:51:59.332;56;O;1;4;  2A;0;ERR;
21_04_26 06:51:59.499;57;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 06:52:00.842;58;I;4;1;DE21;46;;9214231383150100ce000000230000002d00000000009c0189019601830100200800e01e895800005e04965a5804
21_04_26 06:52:14.985;60;O;1;4;  71;4;ERR;0000d002
21_04_26 06:52:15.894;61;I;4;1;DE24;0;;
21_04_26 06:52:20.679;63;O;1;4;  2A;0;ERR;
21_04_26 06:52:23.954;65;O;1;4;  2A;0;ERR;
21_04_26 06:52:25.840;67;O;1;4;  2A;0;ERR;
21_04_26 06:52:27.344;68;I;4;1;DE21;46;;1611fb132f150a028c000000680091002d0000000000af019c01a901960100300800d81e935800007804965a5804
21_04_26 06:52:28.540;69;I;2;1;4216;66;;e21075116e1206025302fc017c009000c00100000000040004000400040000300800a81e945800001063866058040a0a9d971d196d0e1163866032090100ad01b81e
21_04_26 06:52:28.540;70;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 06:52:29.630;72;O;1;4;  2A;0;ERR;
21_04_26 06:52:42.165;74;O;1;1A;1D90;0;ERR;
21_04_26 06:52:45.528;76;O;1;1A;1D90;0;ERR;
21_04_26 06:52:49.485;78;O;1;1A;1D90;0;ERR;
21_04_26 06:52:52.157;80;O;1;1A;1D90;0;ERR;
21_04_26 06:52:55.014;82;O;1;1A;1D90;0;ERR;
21_04_26 06:52:58.567;83;I;5;1;F204;115;;c26d4a96dac005000000803f00000000000000000000000000000000000000000000000083c26d4a96dac00500640721bd628c34bf1af1203d30ee343f00000000000000000000000083c26d4a96dac005000000803f00000000000000000000000000000000000000000000000080ffffffff
21_04_26 06:52:58.582;84;I;2;1;4216;66;;a9132d147c14db00330100005200a000190000000000040004000400040000300800dc1e9e5800002e63866058040c0a9b951e196d0e2f638660500901001900f81e
21_04_26 06:52:58.582;85;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 06:53:01.044;87;O;1;1A;1D90;0;ERR;
21_04_26 06:53:06.424;89;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:53:12.831;91;O;1;4;  2A;0;ERR;
21_04_26 06:53:18.779;93;O;1;4;  2A;0;ERR;
21_04_26 06:53:22.934;95;O;1;4;  2A;0;ERR;
21_04_26 06:53:25.797;97;O;1;4;  2A;0;ERR;
21_04_26 06:53:28.609;98;I;2;1;4216;66;;af1148140e15f5016d0000005b00a4001b0000000000040004000400040000300800dc1ea85800004c63866058040b0a01941d196d0e4d6386606e0901001900f81e
21_04_26 06:53:28.609;99;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 06:53:30.168;101;O;1;4;  2A;0;ERR;
21_04_26 06:53:33.416;103;O;1;4;  2A;0;ERR;
21_04_26 06:53:37.804;105;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:53:40.639;107;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:53:44.173;109;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:53:47.705;111;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:53:49.641;112;I;5;1;F204;115;;7508ee99dac005000000803f000000000000000000000000000000000000000000000000837508ee99dac00500801086bcb6c734bf2d7e853c6b29353f000000000000008000000000837508ee99dac005000000803f00000000000000000000000000000000000000000000000080ffffffff
21_04_26 06:53:50.892;114;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:53:53.934;116;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:53:56.924;118;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:53:58.635;119;I;2;1;4216;66;;43116c124015e7019f0000005b00a500190000000000040004000400040000300800d81eb25800006a63866058040c0a01981d196d0e6b6386608c0901001900f81e
21_04_26 06:53:58.635;120;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 06:53:59.874;122;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:54:04.223;124;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:54:07.685;126;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:54:13.791;128;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:54:17.728;130;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:54:19.756;131;I;5;1;F204;115;;4c84af9bdac005000000803f000000000000000000000000000000000000000000000000834c84af9bdac00500fd29adbbd7d234bf871caa3b7734353f000000000000008000000000834c84af9bdac005000000803f00000000000000000000000000000000000000000000000080ffffffff
21_04_26 06:54:20.693;133;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:54:23.040;135;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:54:25.637;137;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:54:28.672;138;I;2;1;4216;66;;7911e014fe146301db0000005600a2001a0000000000050004000400040000300800dc1ebc5800008863866058040c0a01951e196d0e89638660aa0901001900f81e
21_04_26 06:54:28.672;139;I;2;1;4217;81;;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_26 06:54:29.804;141;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:54:33.263;143;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:54:36.300;145;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:54:39.483;147;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:54:42.933;149;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:54:43.389;150;I;1;1A;1DA2;4;;aa000000
21_04_26 06:54:45.205;152;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:54:45.661;153;I;1;1A;1DA2;4;;aa000000
21_04_26 06:54:47.064;155;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:54:47.519;156;I;1;1A;1DA2;4;;aa000000
21_04_26 06:54:49.873;157;I;5;1;F204;115;;f1c8709ddac005000000803f00000000000000000000000000000000000000000000000083f1c8709ddac005000ad2bd3b94d234bf64a3c1bb1934353f00000000000000000000000083f1c8709ddac005000000803f00000000000000000000000000000000000000000000000080ffffffff
21_04_26 06:54:49.990;159;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:54:50.442;160;I;1;1A;1DA2;4;;aa000000
21_04_26 06:54:52.706;162;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:54:53.162;163;I;1;1A;1DA2;4;;aa000000
21_04_26 06:54:55.351;165;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:54:55.811;166;I;1;1A;1DA2;4;;aa000000
21_04_26 06:54:58.172;168;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:54:58.627;169;I;1;1A;1DA2;4;;aa000000
21_04_26 06:55:00.497;171;O;1;1A;1DA2;4;ERR;aa000000
21_04_26 06:55:00.965;172;I;1;1A;1DA2;4;;aa000000
21_04_26 06:55:01.431;173;I;1A;1; 118;2;;a21d
21_04_26 06:55:04.082;175;O;1;1A;1DA3;4;ERR;40420f00
21_04_26 06:55:04.538;176;I;1;1A;1DA3;4;;40420f00
21_04_26 06:55:06.594;178;O;1;1A;1DA3;4;ERR;40420f00
21_04_26 06:55:07.050;179;I;1;1A;1DA3;4;;40420f00
21_04_26 06:55:07.499;180;I;1A;1; 118;2;;a31d
