"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Tunisia","TUN","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","",
"Tunisia","TUN","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","11.5481171548117","4.44242973708069","3.45721694036301","5.98086124401914","8.46273291925466","7.17264386989158","7.38112136266856","6.95652173913043","9.96865203761756","10.4733658990463","14.6135856855387","12.0263061074319","6.98684337504423","9.20134401654174","6.75040772462657","10.1469591831967","4.63430732908532","5.19546546091772","7.8457327066112","5.51251090091903","4.09241278666362","7.79758981373619","5.48505272532232","5.81066094720191","6.53380822631192","6.40886403549311","9.31072753968346","6.50822720481126","7.30250961604362","10.7886500125598","10.8536628782409","9.85341086156468","9.80894978639677","9.17367091507037","7.65476965240213","8.37350718411771","7.20077454847717","6.97753619276444","6.31054046078857","5.74993012716075","8.20512790355883","8.29241724278744","8.99362639204021","7.69530094814153","6.90204897503388","8.72862592094716","9.26625140223921","9.01443448295714","10.2649423968583","12.6262274100163","10.452955972088","9.52804813013833","10.3408655321656","10.2389505510643","10.2130005983051","10.4559203099056","10.6225390557753","8.22712515127897","8.35714365770303","8.57496083334875","",
"Tunisia","TUN","Export volume index (2000 = 100)","TX.QTY.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","34.67463538","43.16007783","37.62809501","39.04806493","38.87772217","38.0864659","34.57166488","39.31449603","40.93365127","50.58266226","56.34618683","61.39349676","66.05616293","66.03531445","81.23479129","82.09850969","79.24367665","87.18744528","90.810587","93.80444834","100","115.5428349","117.4332382","115.714534","123.5543756","124.997711","131.5126433","152.0030423","165.6636867","142.0451195","155.7659292","147.2889847","146.9740615","142.878081","140.5820206","143.0261946","139.6552006","141.0542794","144.3145094","144.4575032","133.7828606",
"Tunisia","TUN","Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports)","TM.VAL.MRCH.R1.ZS","0.575614861329147","0.614947965941343","0.325278810408922","0.40595399188092","0.0803212851405622","0.772043884599756","0.680272108843537","0.459066564651875","0.550964187327824","0.045689917758148","0.048989189718802","","0.0934884226546364","0.657422727206173","0.55144301608449","0.790770119884133","0.249877350776778","0.585372270455143","0.757793674521251","0.67537879324763","0.794889549799078","0.647666421338477","0.710307770363491","1.32145527272957","1.09082315480485","1.92136592042937","1.8934708024209","1.35158948332981","1.46312428981116","2.34668348035699","2.96474060121373","0.958180659368803","1.09528396403188","1.15516590885321","1.28208638423302","1.14221436963614","1.42849472228794","1.51220588964712","1.50534726385649","1.51834736584002","1.89632787226302","2.14249703144833","2.10973736580041","2.50046031625424","2.82222022983353","3.53386715245535","4.01798372010006","4.68911914896974","5.14046245182535","6.44166078261421","7.62939534725616","7.774481595399","8.84609675741965","8.03170233232206","8.97068346823586","10.1988152105206","11.6470674090847","10.6966058405065","11.3281438245089","10.5887295447599","",
"Tunisia","TUN","Tariff rate, most favored nation, simple mean, primary products (%)","TM.TAX.TCOM.SM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.77","","28.76","","","29.86","","","31.29","","52.53","","55.87","49.07","46.75","44.79","45.72","","29.97","26.26","18.43","23.35","24.51","19.47","","19.51","22.75","","","","",
"Tunisia","TUN","Tariff rate, most favored nation, simple mean, manufactured products (%)","TM.TAX.MANF.SM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","29.04","","","29.43","","","28.68","","25.61","","27.56","22.56","22.86","21.67","21.32","","19","19.32","15.89","13.74","12.34","12.16","","12.16","7.65","","","","",
"Tunisia","TUN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4120000","3885000","4263000","4718000","4832000","5058000","5387000","5064000","5114000","5998000","6378000","6550000","6762000","7050000","7797000","7828000","5746000","6999000","7352000","7163000","5359000","5724000","7052000","8299000","9429000","2012000",
"Tunisia","TUN","Population, female (% of total population)","SP.POP.TOTL.FE.ZS","50.1674271552462","50.1009994712304","50.0166183677209","49.9297043839899","49.8595305070867","49.818082512504","49.8102454322834","49.8286477070266","49.8589124952015","49.8826356715285","49.8875252897771","49.8708148113804","49.8388402926672","49.7992730348889","49.7628629150215","49.7369766402589","49.7217480327425","49.7142716215216","49.7137368365643","49.7184722761609","49.7268451406016","49.7393467366138","49.754840872811","49.7684556541333","49.774815651556","49.7704510074915","49.7555685438956","49.7323436613112","49.7024554673007","49.6685880803865","49.6328969734822","49.5956442514231","49.5581130631988","49.525246551418","49.502749579724","49.4941043680277","49.500001888353","49.5190215259647","49.5498883159398","49.5906574725958","49.6395421383269","49.6972661085991","49.7629634147046","49.8314376605912","49.8957422653812","49.9513791635673","49.9948878618431","50.0279337768126","50.0570986876376","50.0915616846438","50.1371806667359","50.1964462060244","50.2652670652595","50.3349280636658","50.3933176627547","50.4324661172486","50.4498430724432","50.449269939628","50.4371518597642","50.4222460715395","50.4108517594866",
"Tunisia","TUN","Population ages 65 and above (% of total population)","SP.POP.65UP.TO.ZS","3.72918140574156","3.71766684551863","3.69029615970898","3.65005748769197","3.59766641247007","3.53208188056969","3.52628743805214","3.51649853781586","3.50491897270278","3.49255762215372","3.47971260369418","3.53026633914798","3.57204548263596","3.6047446057682","3.63223482297425","3.66006978363115","3.71853137608058","3.7771844934894","3.83267677653577","3.8774828700403","3.90780476868748","4.00164488170239","4.09758640605211","4.19881940187083","4.31365596536641","4.44991905417954","4.49969924944047","4.56703099547887","4.65514650905571","4.75874698053773","4.86973848698258","4.98232231515082","5.09453310193884","5.21665015145638","5.36662029394566","5.5569740629395","5.77667378125762","6.01693027329179","6.26558317333268","6.50604124079376","6.72865110961183","6.89690310390046","7.04725267344534","7.18004134022612","7.29444017562077","7.39068887580415","7.43179194162577","7.45818957243502","7.47388744063167","7.48192945757306","7.48619401679924","7.49453540720991","7.49141560036589","7.49991486312684","7.55187400102376","7.66500813196912","7.82946130753467","8.05233384204566","8.31567907898877","8.5934685561919","8.87294869222876",
"Tunisia","TUN","Population ages 40-44, male (% of male population)","SP.POP.4044.MA.5Y","4.70620837779919","4.70628289333693","4.71639940651192","4.71229064034917","4.68307268079445","4.64012612148394","4.60631158491979","4.58155236366174","4.56248049966947","4.54827244921758","4.53854393012605","4.57833108270593","4.62855969512413","4.66631338962934","4.6746478898584","4.65667956818314","4.59416596605005","4.50996911546061","4.40725897617892","4.28850064828332","4.15593283175703","4.0383977608595","3.91737296580681","3.79622059563312","3.68046990540503","3.57961984126553","3.49651590036595","3.42259759678304","3.39309024541744","3.45746346027847","3.63725224996284","3.92370157843543","4.31252907083122","4.73878342942785","5.11450572158732","5.39282448064762","5.61625588354198","5.76258742821672","5.85909687402558","5.95244138331779","6.06831264542352","6.19375566185815","6.33365927079676","6.47283593935549","6.5852873632803","6.65278454058604","6.69408936495798","6.70758207712382","6.69517767405089","6.66449910226285","6.62253091768427","6.5623718418179","6.49571813047676","6.43864928609377","6.41415109535495","6.4360171545319","6.46211713690884","6.53158003244988","6.64084225452561","6.78555289945809","6.95949939529944",
